report_year,state,slide_id,slide_no,source,district,name,location,nh_sh_affected,latitude,longitude,date_of_event,time_of_event,type_of_event,casualty,rainfall_mm
2026,Meghalaya,Field Survey//2025/Meghalaya/32,13.0,Field Survey,Ri Bhoi,Umbang Landslide,GS Road,NH 6,25.68672,91.9034,30-05-2025,-,1.0,0.0,338.0
2026,Meghalaya,Field Survey//2025/Meghalaya/33,14.0,Field Survey,Ri Bhoi,Umbang Landslide 2,GS Road,NH 6,25.68624,91.90282,30-05-2025,-,1.0,0.0,338.0
2026,Meghalaya,Field Survey//2025/Meghalaya/34,15.0,Field Survey,Ri Bhoi,Sumer Landslide 1,GS Road,NH 6,25.69024,91.90534,30-05-2025,-,1.0,0.0,338.0
2026,Meghalaya,Field Survey//2025/Meghalaya/35,16.0,Field Survey,Ri Bhoi,Umsamlem Landslide,GS Road,NH 6,25.75852,91.87999,30-05-2025,-,1.0,0.0,0.0
2026,Meghalaya,Field Survey//2025/Meghalaya/36,17.0,Field Survey,Ri Bhoi,Kwinain Landslide,GS Road,NH 6,25.82308,91.87242,30-05-2025,-,1.0,0.0,2.0
2026,Meghalaya,Field Survey//2025/Meghalaya/37,18.0,Field Survey,Ri Bhoi,Umnget Landslide,GS Road,NH 6,25.81488,91.87571,30-05-2025,-,1.0,0.0,2.0
2026,Meghalaya,Field Survey//2025/Meghalaya/38,19.0,Field Survey,Ri Bhoi,Umling Landslide,GS Road,NH 6,25.92683,91.87521,30-05-2025,-,1.0,0.0,3.0
2026,Meghalaya,Field Survey//2025/Meghalaya/39,20.0,Field Survey,Ri Bhoi,Umling Landslide 2,GS Road,NH 6,25.92723,91.87506,30-05-2025,-,1.0,0.0,3.0
2026,Meghalaya,Field Survey//2025/Meghalaya/40,21.0,Field Survey,Ri Bhoi,Umling Landslide 3,GS Road,NH 6,25.95857,91.86467,30-05-2025,-,1.0,0.0,24.0
2026,Meghalaya,Field Survey//2025/Meghalaya/41,22.0,Field Survey,Ri Bhoi,Umling Landslide 4,GS Road,NH 6,25.9571,91.86125,30-05-2025,-,1.0,0.0,3.0
2026,Meghalaya,Field Survey//2025/Meghalaya/42,23.0,Field Survey,Ri Bhoi,Byrnihat Landslide,GS Road,NH 6,26.01556,91.86894,30-05-2025,-,1.0,0.0,8.0
2026,Meghalaya,Field Survey//2025/Meghalaya/43,24.0,Field Survey,Ri Bhoi,Byrnihat Landslide 2,GS Road,NH 6,26.0169,91.86662,30-05-2025,-,1.0,0.0,8.0
2026,Meghalaya,Field Survey//2025/Meghalaya/44,25.0,Field Survey,Ri Bhoi,17 Mile Landslide,GS Road,NH 6,26.02992,91.86895,30-05-2025,-,1.0,0.0,8.0
2026,Meghalaya,Field Survey//2025/Meghalaya/45,26.0,Field Survey,Ri Bhoi,Byrnihat Landslide 3,GS Road,NH 6,26.03532,91.86799,30-05-2025,-,1.0,0.0,8.0
2026,Meghalaya,Field Survey//2025/Meghalaya/46,27.0,Field Survey,Ri Bhoi,Byrnihat Landslide 4,GS Road,NH 6,26.03628,91.86832,30-05-2025,-,1.0,0.0,8.0
2026,Meghalaya,Field Survey//2025/Meghalaya/47,28.0,Field Survey,Ri Bhoi,Ampher Landslide,GS Road,NH 6,26.08904,91.87737,30-05-2025,-,1.0,0.0,8.0
