incident_id,report_year,state,district,name,location,nh_sh_affected,latitude,longitude,date_of_event,rainfall_mm,type_of_event,casualty,computed_severity,source,slide_id
229,2025,Meghalaya,East Khasi Hills,Rilbong Landslide,Near Rilbong Beat House,,25.567062,91.871489,2024-05-28,115.36,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Meghalaya/22
230,2025,Meghalaya,East Khasi Hills,Lumparing Landslide,Lower Lumparing,,25.560962,91.881821,2024-05-28,115.36,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Meghalaya/23
231,2025,Meghalaya,South West Khasi Hills,13 KM Landslide,MR Road,,25.391929,91.389687,2024-05-28,73.8,2.0,0.0,0.65,Newspapers & Media,Newspapers & Media/2024/Meghalaya/24
232,2025,Meghalaya,East Khasi Hills,Sohiong Landslide,Mawmaram Road,,25.510164,91.700373,2024-06-28,43.61,1.0,0.0,0.35,Newspapers & Media,Newspapers & Media/2024/Meghalaya/81
233,2025,Meghalaya,East Jaintia Hills,Sonapur Landslide,Near Sonapur Tunnel,NH 6,25.102667,92.358006,2024-04-30,3.83,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Meghalaya/3
234,2025,Meghalaya,East Khasi Hills,Nongpriang Landslide,Nongpriang village under Shella Block,,25.271534,91.748951,2024-05-30,564.64,3.0,4.0,1.0,Newspapers & Media,Newspapers & Media/2024/Meghalaya/35
235,2025,Meghalaya,East Jaintia Hills,Lumshnong Landslide,Along Lumshnong Road Side,NH 6,25.15457,92.368435,2024-05-30,599.52,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Meghalaya/42
236,2025,Meghalaya,Ri Bhoi,Umiam 2 Landslide,Near Umiam Fire Station,NH 6,25.669593,91.903928,2024-06-30,114.34,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Meghalaya/82
237,2025,Meghalaya,Ri Bhoi,Umbang 1 Landslide,"GS Road, Ri Bhoi",NH 6,25.682492,91.900697,2024-06-30,129.28,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Meghalaya/87
238,2025,Meghalaya,Ri Bhoi,NEPA Landslide,"GS Road, Ri Bhoi",NH 6,25.676048,91.897497,2024-06-30,129.28,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Meghalaya/88
239,2025,Meghalaya,Ri Bhoi,Umiam 3 Landslide,"GS Road, Ri Bhoi",NH 6,25.675099,91.898378,2024-06-30,114.34,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Meghalaya/89
240,2025,Meghalaya,Ri Bhoi,Umbang 2 Landslide,"GS Road, Ri Bhoi",NH 6,25.686237,91.902376,2024-06-30,114.34,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Meghalaya/90
241,2025,Meghalaya,Ri Bhoi,Umbang 3 Landslide,"GS Road, Ri Bhoi",NH 6,25.686801,91.903145,2024-06-30,114.34,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Meghalaya/91
242,2025,Meghalaya,Ri Bhoi,Sumer Landslide,"GS Road, Ri Bhoi",NH 6,25.692127,91.906341,2024-06-30,129.28,3.0,0.0,0.85,Newspapers & Media,Newspapers & Media/2024/Meghalaya/92
